id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 23:00:00FR23259_PM2.5_1,FR23259,39,44109,3.7,2026-06-10 23:00:00+00:00
2026-06-10 22:00:00FR23001_SO2_A,FR23001,1,44052,0.23,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23003_NO2_A,FR23003,3,44052,0.55,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23003_PM10_1,FR23003,24,44052,7.1,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23003_PM2.5_1,FR23003,39,44052,3.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23068_NO2_A,FR23068,3,44061,1.4,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23068_PM10_4,FR23068,24,44061,7.2,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23068_PM2.5_1,FR23068,39,44061,3.8,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23068_SO2_A,FR23068,1,44061,0.025,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23070_NO2_A,FR23070,3,44158,1.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23070_PM10_3,FR23070,24,44158,6.7,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23070_PM2.5_1,FR23070,39,44158,3.4,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23070_SO2_A,FR23070,1,44158,0.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23075_NO2_A,FR23075,3,44210,1.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23078_NO2_A,FR23078,3,49099,2.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23078_O3_A,FR23078,8,49099,66.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23078_PM10_2,FR23078,24,49099,7.4,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23078_PM2.5_2,FR23078,39,49099,1.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23110_NO2_A,FR23110,3,44184,0.93,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23110_O3_A,FR23110,8,44184,69.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23110_PM10_3,FR23110,24,44184,6.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23110_PM2.5_3,FR23110,39,44184,3.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23120_NO2_A,FR23120,3,49007,4.7,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23120_PM10_4,FR23120,24,49007,5.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23120_PM2.5_2,FR23120,39,49007,3.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23123_NO2_A,FR23123,3,53130,2.8,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23123_O3_A,FR23123,8,53130,68.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23123_PM10_3,FR23123,24,53130,12.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23123_PM2.5_3,FR23123,39,53130,7.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23124_NO2_A,FR23124,3,85289,1.3,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23124_O3_A,FR23124,8,85289,59.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23124_PM10_4,FR23124,24,85289,4.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23124_PM2.5_2,FR23124,39,85289,2.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-10 22:00:00+00:00
